park,name,lat,lon,category,score,has_plaque,wikidata,wikipedia,image,operator,website,start_date,opening_hours,extra_info,osmid
Hays Woods Park,Unnamed,40.3971325,-79.9499158,tourism,7.0,False,,,,,,,,"{""direction"": ""40"", ""tourism"": ""viewpoint"", ""nodes"": ""nan"", ""natural"": ""nan"", ""water"": ""nan"", ""climbing"": ""nan"", ""name"": ""nan"", ""sport"": ""nan"", ""boundary"": ""nan"", ""leisure"": ""nan"", ""intermittent"": ""nan"", ""ways"": ""nan"", ""type"": ""nan""}","('node', 12100628683)"
Hays Woods Park,Unnamed,40.4004538,-79.9526794,tourism,7.0,False,,,,,,,,"{""direction"": ""70"", ""tourism"": ""viewpoint"", ""nodes"": ""nan"", ""natural"": ""nan"", ""water"": ""nan"", ""climbing"": ""nan"", ""name"": ""nan"", ""sport"": ""nan"", ""boundary"": ""nan"", ""leisure"": ""nan"", ""intermittent"": ""nan"", ""ways"": ""nan"", ""type"": ""nan""}","('node', 12100682538)"
Hays Woods Park,Hays Woods Park,40.39863302583398,-79.95483595521914,leisure,2.0,False,,,,,,,,"{""direction"": ""nan"", ""tourism"": ""nan"", ""nodes"": ""12614896419,12614896418,12614896417,12614896416,12614896415,12614896414,12614896413,12614896412,12614896411,12614896410,12614896409,12614896408,12614896407,12614896406,12614896405,12614896404,12614896403,12614896402,12614896401,12614896400,12614896399,12614896398,12614896397,12614896396,12614896395,12614895917,12614896394,12614896393,12614896392,12614896391,12614896390,12614896389,12614896388,12614896387,12614896386,12614896385,12614896384,12614896383,12614896382,12614896381,12614896380,12614896379,12614896378,12614896377,12614896376,12614896375,12614896374,12614896373,12614896372,12614896371,12614896370,12614896369,12614896368,12614896367,12614896366,12614896365,12614896364,12614896363,12614896362,12614896361,12614896360,12614896359,12614896358,12614896357,12614896356,12614896355,12614896354,12614896353,12614896352,12614896351,12614896350,12614896349,12614896348,12614896347,12614896346,12614896345,12614896344,12614896343,12614896342,12614896341,12614896340,12614896339,12614896338,12614896337,12614896336,12614896335,12614896334,12614896333,12614896332,12614896331,12614896330,12614896329,12614896328,12614896327,12614896326,12614896325,12614896324,12614896323,12614896322,12614896321,12614896320,12614896319,12614896318,12614896317,12614896316,12614896315,12614896314,12614896313,12614896312,12614896311,12614896310,12614896309,12614896308,12614896307,12614896306,12614896305,12614896304,12614896303,12614896302,12614896301,12614896300,12614896299,12614896298,12614896297,12614896296,12614896295,12614896294,12614896293,12614896292,12614896291,12614896290,12614896289,12614896288,12614896287,12614896286,12614896285,12614896284,12614896283,12614896282,12614896281,12614896280,12614896279,12614896278,12614896277,12614896276,12614896275,12614896274,12614896273,12614896272,12614896271,12614896270,12614896269,12614896268,12614896267,12614896266,12614896265,12614896264,12614896263,12614896262,12614896261,12614896260,12614896259,12614896258,12614896257,12614896419"", ""natural"": ""nan"", ""water"": ""nan"", ""climbing"": ""nan"", ""name"": ""Hays Woods Park"", ""sport"": ""nan"", ""boundary"": ""forest"", ""leisure"": ""nature_reserve"", ""intermittent"": ""nan"", ""ways"": ""nan"", ""type"": ""nan""}","('way', 1362473194)"
Hays Woods Park,Unnamed,40.399052830221265,-79.95741913202286,natural,1.0,False,,,,,,,,"{""direction"": ""nan"", ""tourism"": ""nan"", ""nodes"": ""[[9320433531, 9320433532, 9320433533, 9320433534, 9320433535, 9320433536, 9320433537, 9320433538, 9320433539, 9320433540, 9320433541, 9320433542, 9320433543, 9320433544, 9320433545, 9320433546, 9320433547, 9320433548, 9320433549, 9320433550, 9320433551, 9320433530, 9320433523, 9320433522, 9320433521, 12614896162, 9320433520, 12614896163, 9320433519, 12614896164, 12614896165, 9320433518, 9320433517, 1803964784, 9320412816, 12614896167, 9320412815, 1803964793, 12614896168, 12614896169, 12614896170, 12614896171, 12614896172, 1803964750, 12614896173, 12614896174, 12614896175, 12614896176, 12614896177, 12614896178, 12614896179, 12614896181, 12614896182, 12614896180, 12614896183, 1803964812, 12614896184, 12614896185, 1803964796, 12614896188, 12614896187, 12614896186, 12614896189, 12614896190, 12614896191, 12614896192, 12614896193, 12614896194, 12614896195, 1803964754, 1803964790, 12614976381, 12614976345, 12614976380, 12614976379, 12614976377, 12614976378, 12614976376, 12614976347, 12614896196, 12614976348, 12614976346, 12614976349, 12614976351, 12614976350, 12614976355, 12614976353, 12614976354, 12614976352, 12614976356, 12614976357, 12614976358, 12614976359, 12614976360, 12614976362, 12614976361, 12614976375, 12614896197, 12614896198, 12614976374, 12614976372, 12614976371, 12614976370, 12614976369, 12614976368, 12614976367, 12614976373, 12614976364, 12614896199, 12614976366, 12614976363, 12614976365, 12614896200, 12614896207, 12614896203, 12614896202, 12614896201, 12614976344, 12614896204, 12614896205, 12614896206, 12614896208, 12614896209, 1803964797, 12614896211, 12614896210, 1803964743, 1803964782, 12614896213, 12614896212, 1803964757, 12614976400, 12614896214, 12614896215, 9320433597, 12614896216, 1803964756, 12614896217, 12614896218, 9320433608, 12614896219, 9320433603, 9320433602, 12614896220, 12614896221, 1803964799, 12614896222, 12614896223, 12614896224, 12614896225, 12614896227, 12614896226, 12614896249, 12614896228, 12614896229, 12614896230, 12614896231, 12614896232, 12614896236, 12614896237, 12614896240, 12614896241, 12614896242, 12614896244, 12614896243, 12614896248, 12614896247, 12614896245, 12614896250, 12614896246, 12614896251, 12614896252, 1803964816, 12614896420, 9320433609, 12614896253, 12614896254, 12614896256, 12614896255, 1803964835, 12614896098, 12614896099, 1803964748, 12614896100, 1803964749, 9320433610, 9320433611, 9320433612, 12614896101, 1803964822, 1803964828, 1803964830, 1803964774, 12614896102, 1803964778, 12614896103, 1803964792, 12614896104, 1803964829, 1803964755, 1803964741, 1803964791, 1803964758, 1803964818, 1803964814, 1803964788, 12614896106, 12614896105, 12614896107, 1803964826, 1803964839, 12614896108, 12614896109, 12614896110, 12614896111, 12614896112, 12614896114, 12614896113, 12614896115, 12614896117, 12614896116, 1803964831, 12614896118, 12614896119, 12614896120, 12614896121, 1803964832, 1803964751, 12614896122, 1803964838, 12614896123, 12614896124, 1803964820, 12614896125, 1803964786, 12614896126, 1803964753, 12614896127, 1803964738, 12614896128, 1803964836, 12614896129, 12614896130, 12614896131, 12614896132, 12614896133, 12614896134, 1803964833, 1803964837, 12614896135, 12614896136, 12614896137, 12614896138, 1803964794, 12614896139, 1803964834, 12614896140, 12614896141, 1803964798, 1803964795, 1803964736, 1803964759, 1803964848, 1803964745, 9320433524, 9320433552, 9320433525, 9320433526, 12614896161, 12614896160, 12614896159, 12614896158, 12614896157, 12614896156, 12614896155, 12614896154, 12614896153, 12614896149, 12614896152, 12614896151, 12614896150, 12614896148, 12614896147, 12614896146, 12614896145, 12614896144, 12614896143, 12614896142, 1803964752, 9320433527, 9320433528, 9320433529, 9320433531], [12614896097, 12614896096, 12614896095, 12614896094, 12614896093, 12614896092, 12614896091, 12614896090, 12614896097], [12614896089, 12614896088, 12614896087, 12614896086, 12614896085, 12614896084, 12614896083, 12614896082, 12614896081, 12614896080, 12614896079, 12614896078, 12614896077, 12614896076, 12614896075, 12614896074, 12614896073, 12614896072, 12614896071, 12614896070, 12614896089], [12614895942, 12614896047, 12614896046, 12614896045, 12614896044, 12614896043, 12614896042, 12614896041, 12614896040, 12614896039, 12614896038, 12614896037, 12614896036, 12614896035, 12614896034, 12614896033, 12614896032, 12614896031, 12614896030, 12614896029, 12614896028, 12614896027, 12614896026, 12614896025, 12614896024, 12614896023, 12614896022, 12614896021, 12614896020, 12614896019, 12614896018, 12614896017, 12614896016, 12614896015, 12614896014, 12614896013, 12614896012, 12614896011, 12614896010, 12614896009, 12614896008, 12614896007, 12614896006, 12614896005, 12614896004, 12614896003, 12614896002, 12614896001, 12614896000, 12614895999, 12614895998, 12614895997, 12614895996, 12614895995, 12614895994, 12614895993, 12614895992, 12614895991, 12614895990, 12614895989, 12614895988, 12614895987, 12614895986, 12614895985, 12614895984, 12614895983, 12614895982, 12614895981, 12614895980, 12614895979, 12614895978, 12614895977, 12614895976, 12614895975, 12614895974, 12614895973, 12614895972, 12614895971, 12614895970, 12614895969, 12614895968, 12614895967, 12614895966, 12614895965, 12614895964, 12614895963, 12614895962, 12614895961, 12614895960, 12614895959, 12614895958, 12614895957, 12614895956, 12614895955, 12614895954, 12614895953, 12614895952, 12614895951, 12614895950, 12614895949, 12614895948, 12614895947, 12614895946, 12614895945, 12614895944, 12614895943, 12614895942], [12614418342, 12614418343, 12614418344, 12614418345, 12614418346, 12614418347, 12614418348, 12614418349, 12614418350, 12614418351, 12614418352, 12614418353, 12614418354, 12614418355, 12614418356, 12614418357, 12614418358, 12614418359, 12614418360, 12614418361, 12614418362, 12614418363, 12614418364, 12614418365, 12614418366, 12614418379, 12614418378, 12614418377, 12614418376, 12614418375, 12614418374, 12614418373, 12614418372, 12614418371, 12614418370, 12614895941, 12614895940, 12614895939, 12614895938, 12614895937, 12614895936, 12614895935, 12614895934, 12614895933, 12614895932, 12614895931, 12614895930, 12614895929, 12614895928, 12614895927, 12614895926, 12614895925, 12614895924, 12614895923, 12614895922, 12614895921, 12614895920, 12614895919, 12614895918, 12614895917, 12614895916, 12614895915, 12614895914, 12614895913, 12614895912, 12614895911, 12614895910, 12614895909, 12614895908, 12614895907, 12614895906, 12614895905, 12614895904, 12614895903, 12614895902, 12614895901, 12614418400, 12614418399, 12614418398, 12614418397, 12614418396, 12614418395, 12614418394, 12614418393, 12614418392, 12614418391, 12614418390, 12614418389, 12614418388, 12614418387, 12614418386, 12614418385, 12614418384, 12614418383, 12614418382, 12614418381, 12614418380, 12614418342]]"", ""natural"": ""wood"", ""water"": ""nan"", ""climbing"": ""nan"", ""name"": ""nan"", ""sport"": ""nan"", ""boundary"": ""nan"", ""leisure"": ""nan"", ""intermittent"": ""nan"", ""ways"": ""1010165294,1362473193,1362473192,1362473190,1362473189"", ""type"": ""multipolygon""}","('relation', 18747141)"
Hays Woods Park,Unnamed,40.40011219508924,-79.95238494013932,natural,1.0,False,,,,,,,,"{""direction"": ""nan"", ""tourism"": ""nan"", ""nodes"": ""12100682543,8034081392,8034081393"", ""natural"": ""cliff"", ""water"": ""nan"", ""climbing"": ""nan"", ""name"": ""nan"", ""sport"": ""nan"", ""boundary"": ""nan"", ""leisure"": ""nan"", ""intermittent"": ""nan"", ""ways"": ""nan"", ""type"": ""nan""}","('way', 1306588797)"
Hays Woods Park,Unnamed,40.39624977360935,-79.94814588371253,natural,1.0,False,,,,,,,,"{""direction"": ""nan"", ""tourism"": ""nan"", ""nodes"": ""8033981679,8033981680,12100682546,8034081385,12100682545,8034081386,8034081387,12100682544,8034081388,8034081389"", ""natural"": ""cliff"", ""water"": ""nan"", ""climbing"": ""nan"", ""name"": ""nan"", ""sport"": ""nan"", ""boundary"": ""nan"", ""leisure"": ""nan"", ""intermittent"": ""nan"", ""ways"": ""nan"", ""type"": ""nan""}","('way', 1306588795)"
Hays Woods Park,Unnamed,40.39496848721966,-79.94577564067757,natural,1.0,False,,,,,,,,"{""direction"": ""nan"", ""tourism"": ""nan"", ""nodes"": ""12648500022,12648500021,12648500020,12648500019,12648500018,12648500006,12648500017,12648500016,12648500015,12648500014,12648500013,12648500012,12648500011,12648500010,12648500009,12648500008,12648500005,12648500007,12648500022"", ""natural"": ""water"", ""water"": ""pond"", ""climbing"": ""nan"", ""name"": ""nan"", ""sport"": ""nan"", ""boundary"": ""nan"", ""leisure"": ""nan"", ""intermittent"": ""yes"", ""ways"": ""nan"", ""type"": ""nan""}","('way', 1365836291)"
Hays Woods Park,Hay's Wall,40.39085000114794,-79.94430280408716,natural,1.0,False,,,,,,,,"{""direction"": ""nan"", ""tourism"": ""nan"", ""nodes"": ""12100915389,12100915390,12100915391,12100915392,12100915393,12100915394,12100915395,12100915396"", ""natural"": ""cliff"", ""water"": ""nan"", ""climbing"": ""crag"", ""name"": ""Hay's Wall"", ""sport"": ""climbing"", ""boundary"": ""nan"", ""leisure"": ""nan"", ""intermittent"": ""nan"", ""ways"": ""nan"", ""type"": ""nan""}","('way', 1306619956)"
