park,name,lat,lon,category,score,has_plaque,wikidata,wikipedia,image,operator,website,start_date,opening_hours,osmid,google_place_id,google_name,google_rating,google_ratings_total
"Rittenhouse Square, Center City, Philadelphia, Philadelphia County, Pennsylvania, United States",Evelyn Taylor Price Memorial Sundial,39.9500193,-75.1709728,historic,17.0,False,,,,,https://www.associationforpublicart.org/artwork/evelyn-taylor-price-memorial-sundial/,nan,,"('node', 6623421580)",ChIJ-z2rHTrGxokRBnUJYOPrVgo,Duck Girl,4.3,6
"Rittenhouse Square, Center City, Philadelphia, Philadelphia County, Pennsylvania, United States",Dr. J. William White Memorial,39.9492747,-75.1716975,historic,16.0,False,,,,,https://www.associationforpublicart.org/artwork/dr-j-william-white-memorial/,nan,,"('node', 6623553987)",ChIJN3xTsTHGxokRbzkZzFR7Bv0,White & Williams: Mengel Jr Edward C,,
"Rittenhouse Square, Center City, Philadelphia, Philadelphia County, Pennsylvania, United States",Lion Crushing a Serpent,39.9496583,-75.1720549,tourism,12.0,False,Q15935044,en:Lion with a Snake,,,https://www.associationforpublicart.org/artwork/lion-crushing-a-serpent/,1892,,"('node', 3408073376)",ChIJh1YE-DnGxokR7JxNU78I7OY,Lion Crushing a Serpent,4.9,12
"Rittenhouse Square, Center City, Philadelphia, Philadelphia County, Pennsylvania, United States",Billy,39.9492089,-75.1723784,tourism,12.0,False,,,,,https://www.associationforpublicart.org/artwork/billy/,1919,,"('node', 6623421577)",ChIJiw2F9DnGxokRjgroofx6sWM,Billy,4.9,18
"Rittenhouse Square, Center City, Philadelphia, Philadelphia County, Pennsylvania, United States",Duck Girl,39.9493819,-75.1717954,tourism,11.0,False,Q5311447,en:Duck Girl (Manship),,,https://www.associationforpublicart.org/artwork/duck-girl/,nan,,"('node', 6623421579)",ChIJ-z2rHTrGxokRBnUJYOPrVgo,Duck Girl,4.3,6
"Rittenhouse Square, Center City, Philadelphia, Philadelphia County, Pennsylvania, United States",Giant Frog,39.9496595,-75.1715789,tourism,10.0,False,,,,,https://www.associationforpublicart.org/artwork/giant-frog/,nan,,"('node', 6623553985)",,,,
"Rittenhouse Square, Center City, Philadelphia, Philadelphia County, Pennsylvania, United States",Flower Market Sculpture,39.9497426,-75.1714082,tourism,9.856,False,,,,,nan,nan,,"('node', 6681572240)",ChIJ4zolHy7GxokRBkAZZ-cH5qc,The Philadelphia Flower Market,4.5,356
"Rittenhouse Square, Center City, Philadelphia, Philadelphia County, Pennsylvania, United States",Greyhound Sculptures,39.9489784,-75.1729145,tourism,10.0,False,,,,,https://www.associationforpublicart.org/artwork/greyhound-sculptures/,1988,,"('node', 6623553986)",ChIJGVFQkjnGxokRTQWpjOkQdqI,Greyhound Sculptures,5,1
