park,name,lat,lon,category,score,has_plaque,wikidata,wikipedia,image,operator,website,start_date,opening_hours,osmid,google_place_id,google_name,google_rating,google_ratings_total
"MacArthur Park, 1000, Little Rock, Big Rock Township, Pulaski County, Arkansas, 72202, United States",Memorial to Company A,34.7386778,-92.2649773,historic,17.5,False,Q21834497,"en:Memorial to Company A, Capitol Guards",,,nan,,nan,"('node', 4720168780)",ChIJ678kRHa70ocRwTqfkmRnoP8,Arkansas Korean War Veterans Memorial,4.5,20
"MacArthur Park, 1000, Little Rock, Big Rock Township, Pulaski County, Arkansas, 72202, United States",Arkansas Korean War Veterans Memorial,34.7383714,-92.2646154,historic,15.5,False,,,,,nan,,nan,"('node', 4797522215)",ChIJ678kRHa70ocRwTqfkmRnoP8,Arkansas Korean War Veterans Memorial,4.5,20
"MacArthur Park, 1000, Little Rock, Big Rock Township, Pulaski County, Arkansas, 72202, United States",MacArthur Museum of Arkansas Military History,34.738379235089944,-92.2653387988694,tourism,14.853,False,Q7829641,en:Tower Building of the Little Rock Arsenal,,,https://www.littlerock.gov/residents/parks-and-recreation/park-facility-trail-information/macarthur-museum-of-arkansas-military-history/,,"Tu-Sa 10:00-17:00; Su 13:00-17:00; Thanksgiving,Christmas Eve,New Year's Eve,New Year's Day off","('way', 130061658)",ChIJPSOuJne70ocRVLr96y8LHbo,MacArthur Museum of Arkansas Military History,4.6,353
"MacArthur Park, 1000, Little Rock, Big Rock Township, Pulaski County, Arkansas, 72202, United States",Arkansas Museum of Fine Arts,34.73826289492326,-92.26631410876045,amenity,11.0,False,Q672759,en:Arkansas Museum of Fine Arts,,,http://www.arkarts.com,,"closed ""temporarily closed""","('way', 130061611)",ChIJs9p-Prq70ocRsOLKzPMoEuk,Arkansas Museum of Fine Arts,4.7,970
"MacArthur Park, 1000, Little Rock, Big Rock Township, Pulaski County, Arkansas, 72202, United States",MacArthur Visits City Park,34.7370859,-92.2649964,tourism,7.5,False,,,,,nan,,nan,"('node', 10578242726)",ChIJj-4Dh3a70ocRYIP7VzoeAP4,MacArthur Park,4.4,978
"MacArthur Park, 1000, Little Rock, Big Rock Township, Pulaski County, Arkansas, 72202, United States",Foster Pond,34.73585459724021,-92.2658538644552,natural,5.0,False,,,,,nan,,nan,"('way', 78025244)",ChIJ1TQaLnS70ocRWomF_esgYb0,Foster Pond,5,1
