park,name,lat,lon,category,score,has_plaque,wikidata,wikipedia,image,operator,website,start_date,opening_hours,osmid,google_place_id,google_name,google_rating,google_ratings_total
"Elysian Park, Echo Park, Los Angeles, Los Angeles County, California, United States",Marion Harlow Memorial Grove,34.08910898160404,-118.2426147107168,leisure,11.0,False,,,,nan,nan,,,"('way', 911663049)",ChIJjZiuZ93GwoARN5sRQbjgh5w,Marian Harlow Memorial Grove,4.8,9
"Elysian Park, Echo Park, Los Angeles, Los Angeles County, California, United States",Angel's Point,34.0805501,-118.2455009,tourism,8.0,False,,,,nan,nan,,,"('node', 3587425840)",ChIJ6xn8Q-TGwoAR72H0WV0UDZQ,Angels Point,4.7,1293
"Elysian Park, Echo Park, Los Angeles, Los Angeles County, California, United States",Point Grandview,34.0801603,-118.22827,tourism,8.575,False,,,,nan,nan,,,"('node', 2381944354)",ChIJvbg0JY3GwoARsV-xfSdC3Ew,Point Grand View,4.7,75
"Elysian Park, Echo Park, Los Angeles, Los Angeles County, California, United States",Solano Canyon Community Garden,34.07548017638434,-118.2310996556616,leisure,6.5,False,,,,nan,https://www.solanocanyon.org/aboutsolanocanyon.html,,,"('way', 828596737)",ChIJ5WDhkfTGwoAR58-i7AJOqVk,Solano Canyon Community Garden,4.6,32
"Elysian Park, Echo Park, Los Angeles, Los Angeles County, California, United States",Secret Swing,34.0849817,-118.2341586,tourism,4.0,False,,,,nan,nan,,,"('node', 7966598294)",ChIJOz6gZgAH3IARyYbB7mw1qVA,La Jolla secret swing,,
"Elysian Park, Echo Park, Los Angeles, Los Angeles County, California, United States",Elysian Park,34.08196179731565,-118.23851684466862,leisure,3.682,False,,,,Los Angeles Department of Parks and Recreation,nan,,,"('relation', 12496528)",ChIJHZZGjNnGwoARAjyH8t9KNXY,Elysian Park,4.5,182
